Name,Time
ELON MUSK,13:01:50
BILL GATES,14:35:50
JACK MA,14:37:00
JACK MA,14:55:59
JACK MA,14:56:00
JACK MA,14:56:01
JACK MA,14:56:02
JACK MA,14:56:02
JACK MA,14:56:03
JACK MA,14:56:04
JACK MA,14:56:04
JACK MA,14:56:05
JACK MA,14:56:06
JACK MA,14:56:07
JACK MA,14:56:07
JACK MA,14:56:08
JACK MA,14:56:09
JACK MA,14:56:09
JACK MA,14:56:10
JACK MA,14:56:11
JACK MA,14:56:12
JACK MA,15:00:31
JACK MA,15:00:31
JACK MA,15:00:33
JACK MA,15:00:33
JACK MA,15:00:34
JACK MA,15:00:35
JACK MA,15:00:36
JACK MA,15:00:36
JACK MA,15:00:37
JACK MA,15:00:38
JACK MA,15:00:39
JACK MA,15:00:40
JACK MA,15:00:40
JACK MA,15:00:41
JACK MA,15:00:42
JACK MA,15:00:43
JACK MA,15:00:43
JACK MA,15:00:44
JACK MA,15:00:45
JACK MA,15:00:46
JACK MA,15:00:46
JACK MA,15:00:47
JACK MA,15:00:48
JACK MA,15:00:49
JACK MA,15:00:50
JACK MA,15:00:51
JACK MA,15:00:51
JACK MA,15:00:52
ELON MUSK,15:02:36
JACK MA,15:02:39
ELON MUSK,15:02:41
ELON MUSK,15:02:42
ELON MUSK,15:02:42
ELON MUSK,15:02:43
ELON MUSK,15:02:44
JACK MA,15:02:44
ELON MUSK,15:02:46
ELON MUSK,15:02:47
JACK MA,15:02:47
JACK MA,15:02:49
JACK MA,15:02:50
JACK MA,15:02:52
ELON MUSK,15:02:54
ELON MUSK,15:02:58
ELON MUSK,15:02:59
JACK MA,15:02:59
ELON MUSK,15:07:45
ELON MUSK,15:07:46
JACK MA,15:07:46
ELON MUSK,15:07:47
JACK MA,15:07:47
ELON MUSK,15:07:49
JACK MA,15:07:50
JACK MA,15:07:51
ELON MUSK,15:07:53
ELON MUSK,15:07:54
ELON MUSK,15:07:55
JACK MA,15:07:57
JACK MA,15:07:59
JACK MA,15:08:02
ELON MUSK,15:08:05
JACK MA,15:08:05
JACK MA,15:08:06
ELON MUSK,15:08:08
JACK MA,15:08:08
ELON MUSK,15:08:08
JACK MA,15:08:31
JACK MA,15:08:32
JACK MA,15:08:35
JACK MA,15:08:37
JACK MA,15:08:38
JACK MA,15:08:39
JACK MA,15:08:39
JACK MA,15:08:40
JACK MA,15:08:41
JACK MA,15:08:42
JACK MA,15:08:42
JACK MA,15:08:43
JACK MA,15:08:44
JACK MA,15:08:45
JACK MA,15:08:45
JACK MA,15:08:46
JACK MA,15:08:47
JACK MA,15:08:48
JACK MA,15:08:49
JACK MA,15:08:53
JACK MA,15:08:54
JACK MA,15:08:54
JACK MA,15:08:55
JACK MA,15:08:56
JACK MA,15:08:56
JACK MA,15:08:57
JACK MA,15:08:58
JACK MA,15:08:59
JACK MA,15:08:59
JACK MA,15:09:00
BILL GATES,15:09:29
BILL GATES,15:09:55
BILL GATES,15:10:04
BILL GATES,15:10:05
BILL GATES,15:10:19
BILL GATES,15:10:20
BILL GATES,15:10:23
ELON MUSK,15:10:46
ELON MUSK,15:10:46
ELON MUSK,15:10:47
ELON MUSK,15:10:48
BILL GATES,15:10:48
ELON MUSK,15:10:50
BILL GATES,15:10:50
ELON MUSK,15:10:51
BILL GATES,15:10:51
ELON MUSK,15:10:52
BILL GATES,15:10:52
ELON MUSK,15:10:53
BILL GATES,15:10:53
ELON MUSK,15:10:55
BILL GATES,15:10:55
ELON MUSK,15:10:56
BILL GATES,15:10:56
ELON MUSK,15:10:57
BILL GATES,15:10:57
ELON MUSK,15:10:58
BILL GATES,15:10:58
ELON MUSK,15:10:59
BILL GATES,15:10:59
ELON MUSK,15:11:01
BILL GATES,15:11:01
ELON MUSK,15:11:02
BILL GATES,15:11:02
ELON MUSK,15:11:06
ELON MUSK,15:11:08
BILL GATES,15:11:08
ELON MUSK,15:11:09
ELON MUSK,15:11:09
ELON MUSK,15:11:11
BILL GATES,15:11:11
ELON MUSK,15:11:12
BILL GATES,15:11:12
ELON MUSK,15:11:13
BILL GATES,15:11:13
ELON MUSK,15:11:14
BILL GATES,15:11:14
ELON MUSK,15:11:16
BILL GATES,15:11:16
ELON MUSK,15:11:17
BILL GATES,15:11:17
ELON MUSK,15:11:18
BILL GATES,15:11:18
ELON MUSK,15:11:19
BILL GATES,15:11:19
ELON MUSK,15:11:21
BILL GATES,15:11:21
ELON MUSK,15:13:56
BILL GATES,15:13:56
BILL GATES,15:13:57
ELON MUSK,15:13:58
BILL GATES,15:13:58
ELON MUSK,15:14:00
BILL GATES,15:14:00
BILL GATES,15:14:01
BILL GATES,15:14:02
BILL GATES,15:14:03
ELON MUSK,15:14:04
BILL GATES,15:14:04
ELON MUSK,15:24:18
BILL GATES,15:24:18
BILL GATES,15:24:19
BILL GATES,15:24:21
BILL GATES,15:24:22
BILL GATES,15:24:23
BILL GATES,15:24:25
BILL GATES,15:24:26
